timestamp,raw,final_label,severity,owner_team,tags,cluster_id,t5_template,cluster_template,drain_similarity,auto_label,auto_label_v2
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.220] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,unknown,info,unknown,,1,Gres_FILE Gpu=l4=l4 [2025-09-03T07:52:15.220] Gres Name=gpu Type=l4 Count=1 Gres Gres Gres2025-09-03T07,[2025-09-03T07:52:15.220] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.221] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,unknown,info,unknown,,1,Gres_FILE Gres=l4 [2025-09-03T07:52:15.221] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE Gres Name=gpu Type=l4 Count,<*> Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.222] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,unknown,info,unknown,,1,Gres=gpu Gres [2025-09-03T07:52:15.222] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE] Gres Name=gpu Type=l4 Count=1,<*> Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.223] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,unknown,info,unknown,,1,Gres_FILE gpu=l4 [2025-09-03T07:52:15.223] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE] Gres Name=gpu Type=l4,<*> Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.224] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,unknown,info,unknown,,1,Gres=gpu Gres [2025-09-03T07:52:15.224] Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE] Gres Name=gpu Type=l4 Count=1,<*> Gres Name=gpu Type=l4 Count=1 Flags=HAS_FILE,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:54:51.273] POWER: Power save mode: 334 nodes,unknown,info,unknown,,2,[2025-09-03T07:54:51.273] POWER: Power save mode: 334 nodes [2025-09-03T07:54:51.273] POWER: Power save mode: 334 nodes [2025-09-03T07:54:,[2025-09-03T07:54:51.273] POWER: Power save mode: 334 nodes,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T08:05:11.347] POWER: Power save mode: 334 nodes,unknown,info,unknown,,2,[2025-09-03T08:05:11.347] POWER: Power save mode: 334 nodes [2025-09-03T08:05:11.347] POWER: Power save mode: 334 nodes [2025-09-03T08:05:,<*> POWER: Power save mode: 334 nodes,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T08:15:31.423] POWER: Power save mode: 334 nodes,unknown,info,unknown,,2,[2025-09-03T08:15:31.423] POWER: Power save mode: 334 nodes [2025-09-03T08:15:31.423] POWER: Power save mode: 334 nodes [2025-09-03T08:15:,<*> POWER: Power save mode: 334 nodes,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T08:25:51.498] POWER: Power save mode: 334 nodes,unknown,info,unknown,,2,[2025-09-03T08:25:51.498] POWER: Power save mode: 334 nodes: [2025-09-03T08:25:51.498] POWER:. [2025-09-03T08:25:51.4,<*> POWER: Power save mode: 334 nodes,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:53:16.000] SchedulerParameters=preempt_youngest_first,unknown,info,unknown,,3,[2025-09-03T07:53:16.000] [2025-09-03T07:53:16.000] [2025-09-03T07:53:16.000] [2025-09-03T07:53:16.000]_,[2025-09-03T07:53:16.000] SchedulerParameters=preempt_youngest_first,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:53:16.001] SchedulerParameters=bf_resolution=60,unknown,info,unknown,,4,[2025-09-03T07:53:16.001] SchedulerParameters=bf_resolution=60 [2025-09-03T07:53:16.001] [2025-09-03T07:53:16.001],[2025-09-03T07:53:16.001] SchedulerParameters=bf_resolution=60,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:53:16.002] SchedulerParameters=bf_window=4320,unknown,info,unknown,,5,[2025-09-03T07:53:16.002] SchedulerParameters=bf_window=4320 [2025-09-03T07:53:16.002] SchedulerParameters=bf_window=432020,[2025-09-03T07:53:16.002] SchedulerParameters=bf_window=4320,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.244] select/cons_tres: preparing for 19 partitions,unknown,info,unknown,,6,/con_tres: preparing for 19 partitions. [2025-09-03T07:52:15.244] select/cons_tres: preparing for 19 partitions. [2025-09-03T07:52:15.244] select/cons_tre,[2025-09-03T07:52:15.244] select/cons_tres: preparing for 19 partitions,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.244] select/cons_tres: reconfigure,unknown,info,unknown,,7,[2025-09-03T07:52:15.244] select/cons_tres: reconfigure [2025-09-03T07:52:15.244] select/cons_tres: reconfigure [2025-09-03T07:52:15.2,[2025-09-03T07:52:15.244] select/cons_tres: reconfigure,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.244] Recovered state of 0 reservations,unknown,info,unknown,,8,[2025-09-03T07:52:15.244] Recovered state of 0 reservations. [2025-09-03T07:52:15.244] [2025-09-03T07:52:15.244] Recovered state of 0 reservations. [,[2025-09-03T07:52:15.244] Recovered state of 0 reservations,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.244] State of 0 triggers recovered,unknown,info,unknown,,9,[2025-09-03T07:52:15.244].] [2025-09-03T07:52:15.244]] [2025-09-03T07:52:15.244] [2025-09-03T07:52:,[2025-09-03T07:52:15.244] State of 0 triggers recovered,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.226] Running as primary controller,unknown,info,unknown,,10,[2025-09-03T07:52:15.226] Running as primary controller. [2025-09-03T07:52:15.226] Running as primary controller.,[2025-09-03T07:52:15.226] Running as primary controller,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.245] read_slurm_conf: backup_controller not specified,unknown,info,unknown,,11,[2025-09-03T07:52:15.245] read_slurm_conf: backup_controller not specified [2025-09-03T07:52:15.245] read_slurm_conf: backup_controller not specified [2025-0,[2025-09-03T07:52:15.245] read_slurm_conf: backup_controller not specified,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.236] Gres Name=gpu Type=l4 Count=4 Flags=HAS_FILE,unknown,info,unknown,,1,Gres=gpugpu=4 [2025-09-03T07:52:15.236] Gres Name=gpu Type=l4 Count=4 [2025-09-03T07:52:15.236] Gres Name=gpu,<*> Gres Name=gpu Type=l4 <*> Flags=HAS_FILE,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T07:52:15.235] Gres Name=gpu Type=l4 Count=8 Flags=HAS_FILE,unknown,info,unknown,,1,Gres=gpugpu [2025-09-03T07:52:15.235] Gres Name=gpu Type=l4 Count=8 Flags=HAS_FILE] Gres Name=gpu Type=l4 Count=8,<*> Gres Name=gpu Type=l4 <*> Flags=HAS_FILE,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T09:10:00.001] AUTH: user alice failed password authentication from 10.1.2.3 (error=INVALID_CREDENTIALS),unknown,info,unknown,,12,user alice failed password authentication from 10.1.2.3 (error=INVALID_CREDENTIALS) (user alice failed password authentication from 10.1.2.3) user alice failed password authentication from 10.1.2.3 (error=INVALID_CREDENTIALS,[2025-09-03T09:10:00.001] AUTH: user alice failed password authentication from 10.1.2.3 (error=INVALID_CREDENTIALS),0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T09:10:05.123] DISK: /var is 92% full on node cpu-16c-std-01 (warning: low free space),unknown,info,unknown,,13,/var is 92% full on node cpu-16c-std-01 (warning: low free space) [2025-09-03T09:10:05.123] [ [2025-09-03T09:10:05.123,[2025-09-03T09:10:05.123] DISK: /var is 92% full on node cpu-16c-std-01 (warning: low free space),0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T09:10:07.456] DISK: scrubber error while cleaning temp files on node cpu-8c-std-02,unknown,info,unknown,,14,-scrubber-error-while-cleaning-temp files on node cpu-8c-std-02-02 error while cleaning temp files on node-02 [2025-09-03T09:10:07.456] [202,[2025-09-03T09:10:07.456] DISK: scrubber error while cleaning temp files on node cpu-8c-std-02,0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T09:10:10.789] JOB 987654 submitted by user bob to partition gpu-long (priority=high),unknown,info,unknown,,15,[2025-09-03T09:10:10.789] [2025-09-03T09:10:10.789] [2025-09-03T09:10:10.789] [2025-09-03T09:10:10.789] [202,[2025-09-03T09:10:10.789] JOB 987654 submitted by user bob to partition gpu-long (priority=high),0.0,unknown,unknown
2025-12-09T01:59:25.637833,[2025-09-03T09:10:12.000] NETWORK: latency to storage cluster increased to 120ms (no SLA breach),unknown,info,unknown,,16,[2025-09-03T09:10:12.000] [2025-09-03T09:10:12.000] [2025-09-03T09:10:12.000] [2025-09-03T09:10:12.000] [2025-09-03,[2025-09-03T09:10:12.000] NETWORK: latency to storage cluster increased to 120ms (no SLA breach),0.0,unknown,unknown
