timestamp,raw,final_label,severity,owner_team,tags,cluster_id,t5_template,cluster_template,auto_label
2025-09-03T02:09:33.0000,[2025-09-03T02:09:33.0000] POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete,info,infra,"power,save,complete",1,POWER: no more nodes to resume for job [2025-09-03T02:09:33.0000] POWER: no more nodes to resume for job JobId=986 [2025-09-03T02:09:33.0000] POWER:,[2025-09-03T02:09:33.0000] POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete
2025-09-03T15:09:31.0000,[2025-09-03T15:09:31.0000] NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster,warning,network,"network,latency,storage",2,. [2025-09-03T15:09:31.0000] NETWORK:... [2025-09-03T15:09:31.0000] [2025-09-03T15:09:31.0000] [2025-09-03,[2025-09-03T15:09:31.0000] NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster
2025-09-03T15:00:57.0000,"[2025-09-03T15:00:57.0000] SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters,info,scheduler,"scheduler,config",3,"[2025-09-03T15:00:00.0000],bf_resolution=60,bf_window=4320 [2025-09-03T15:00:03.0000]] [2025-09-03T15:00:03.0000] [","[2025-09-03T15:00:57.0000] SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters
2025-09-03T11:46:13.0000,[2025-09-03T11:46:13.0000] _slurm_rpc_submit_batch_job: JobId=973 InitPrio=30459 usec=6689,job_submit_batch,info,scheduler,"job,submit,batch",4,[2025-09-03T11:46:13.0000] _slurm_rpc_submit_batch_job: [2025-09-03T11:46:13.0000] _slurm_rpc_submit_,[2025-09-03T11:46:13.0000] _slurm_rpc_submit_batch_job: JobId=973 InitPrio=30459 usec=6689,job_submit_batch
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-1,unknown,info,unknown,,5,[2025-08-27T09:41:14.053] power down request repeating for node. [2025-08-27T09:41:14.053] power down request repeating for node [2025-08-27T09:41:1,[2025-08-27T09:41:14.053] power down request repeating for node <*>,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-2 reason set to: stopping cluster,unknown,info,unknown,,6,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-2 reason set to: stopping cluster. [2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node <*> reason set to: stopping cluster,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-2,unknown,info,unknown,,5,[2025-08-27T09:41:14.053] power down request repeating for node. [2025-08-27T09:41:14.053] power down request repeating for node [2025-08-27T09:41:1,[2025-08-27T09:41:14.053] power down request repeating for node <*>,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-3 reason set to: stopping cluster,unknown,info,unknown,,6,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-3 reason set to: stopping cluster. [2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node <*> reason set to: stopping cluster,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-3,unknown,info,unknown,,5,[2025-08-27T09:41:14.053] power down request repeating for node. [2025-08-27T09:41:14.053] power down request repeating for node [2025-08-27T09:41:1,[2025-08-27T09:41:14.053] power down request repeating for node <*>,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-4 reason set to: stopping cluster,unknown,info,unknown,,6,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-4 reason set to: stopping cluster. [2025-08-27T09:41:14.0,[2025-08-27T09:41:14.053] update_node: node <*> reason set to: stopping cluster,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-4,unknown,info,unknown,,5,[2025-08-27T09:41:14.053] power down request repeating for node. [2025-08-27T09:41:14.053] power down request repeating for node [2025-08-27T09:41:1,[2025-08-27T09:41:14.053] power down request repeating for node <*>,unknown
2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-5 reason set to: stopping cluster,unknown,info,unknown,,6,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-5 reason set to: stopping cluster. [2025-08-27T09:41:14.053,[2025-08-27T09:41:14.053] update_node: node <*> reason set to: stopping cluster,unknown
